make,brand_channel,model,variant,fuel_type,transmission,body_type,seating,new_model_launch_date,ex_showroom_price_inr,approx_on_road_price_inr,design,comfort,performance,safety,status,source_url
Maruti Suzuki,Arena,Swift,VXi,Petrol,Manual,Hatchback,5,,,,Dynamic lines and projector style lamps,Touchscreen and connectivity,Refined and peppy output,ESP hill hold and rear sensors,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Swift,ZXi,Petrol,Manual,Hatchback,5,,,,Premium sporty detailing,Auto climate and keyless comfort,Balanced city highway power,Enhanced active safety package,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Swift,VXi CNG,CNG,Manual,Hatchback,5,,,,Dual fuel variant detailing,Factory CNG convenience,Mileage optimized performance,Dual airbags ABS EBD and ESP,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Dzire,LXi,Petrol,Manual,Sedan,5,,,,Elegant compact sedan styling,Comfortable rear bench,Refined everyday performance,Dual airbags ABS EBD and sensors,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Dzire,VXi,Petrol,Manual,Sedan,5,,,,Chrome accent sedan profile,Infotainment and steering controls,Smooth family oriented drive,Dual airbags ABS EBD and ESP,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Dzire,ZXi,Petrol,Manual,Sedan,5,,,,Premium front and rear design,Enhanced comfort and smart key features,Strong drivability for city and trips,Comprehensive safety feature set,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Dzire,VXi CNG,CNG,Manual,Sedan,5,,,,Sedan practicality with CNG,Factory CNG and comfort package,Eco focused commuter tuning,Dual airbags ABS EBD and sensors,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Brezza,LXi,Petrol,Manual,SUV,5,,,,Bold compact SUV stance,High seating and practical cabin,Torque rich urban performance,Dual airbags ABS EBD and ESP,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Brezza,VXi,Petrol,Manual,SUV,5,,,,SUV signature grille and DRL style,Touch infotainment and rear AC vents,Confident city and highway response,6 airbags in select variants and ESP,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Brezza,ZXi,Petrol,Manual,SUV,5,,,,Premium alloy and body cladding,Sunroof and connected features,Strong mid range performance,Advanced active and passive safety,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Brezza,ZXi AT,Petrol,Automatic,SUV,5,,,,Top trim SUV detailing,Automatic convenience and premium cabin,Smooth automatic drive quality,6 airbags ESP and hill hold,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Ertiga,LXi,Petrol,Manual,MUV,7,,,,Family MUV styling cues,Three row utility and AC,Practical long drive tuning,Dual airbags ABS EBD and ESP,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Ertiga,VXi,Petrol,Manual,MUV,7,,,,Refined MUV design updates,Rear AC vents and infotainment,Comfort oriented performance,Enhanced braking and stability aids,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Ertiga,ZXi,Petrol,Manual,MUV,7,,,,Premium chrome and alloys,Captain like comfort options,Balanced load and mileage output,Improved safety package,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Ertiga,VXi CNG,CNG,Manual,MUV,7,,,,Eco MUV variant identity,CNG + spacious family utility,Low operating cost setup,Dual airbags ABS EBD and sensors,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Eeco,5 STR STD,Petrol,Manual,Van,5,,,,Functional van architecture,Simple practical cabin,Reliable people mover output,Basic compliant safety package,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Eeco,Cargo Petrol,Petrol,Manual,Van,2,,,,Commercial focused exterior,Large loading space,Utility tuned performance,Standard commercial safety norms,Active,https://www.marutisuzuki.com
Maruti Suzuki,Nexa,Baleno,Sigma,Petrol,Manual,Hatchback,5,,,,Premium hatchback design language,Spacious and refined interior,Smooth refined performance,Dual airbags ABS EBD and ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Baleno,Delta,Petrol,Manual,Hatchback,5,,,,Sharp LED styling cues,Smartplay infotainment and comfort,Responsive city and highway tune,Enhanced active safety features,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Baleno,Zeta,Petrol,Manual,Hatchback,5,,,,Upscale hatchback detailing,Connected cabin comfort upgrades,Refined acceleration profile,6 airbags in select trims and ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Baleno,Delta CNG,CNG,Manual,Hatchback,5,,,,Dual fuel premium hatch look,CNG practicality with comfort,Efficiency optimized calibration,ABS EBD airbags and ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Fronx,Sigma,Petrol,Manual,SUV Coupe,5,,,,SUV coupe inspired silhouette,High stance comfort package,Turbo like feel in upper variants,Comprehensive safety tech options,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Fronx,Delta,Petrol,Manual,SUV Coupe,5,,,,Bold front and coupe rear styling,Feature rich mid trim cabin,Balanced daily driving output,ESP hill hold and airbags,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Fronx,Zeta,Petrol,Automatic,SUV Coupe,5,,,,Premium styling with DRL signature,Automatic comfort and connected tech,Strong turbo automatic response,Enhanced multi airbag safety,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Fronx,Delta CNG,CNG,Manual,SUV Coupe,5,,,,CNG badging and SUV coupe stance,Dual fuel practicality,Economical commuter performance,ABS EBD airbags and ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Ignis,Sigma,Petrol,Manual,Hatchback,5,,,,Urban SUV style hatch design,Compact yet practical cabin,Quick city maneuverability,Dual airbags ABS EBD and sensors,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Ignis,Alpha,Petrol,Automatic,Hatchback,5,,,,Top trim urban design highlights,Automatic and premium interior touches,Easy stop go driving behavior,Improved safety package with ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Grand Vitara,Sigma,Petrol,Manual,SUV,5,,,,Distinct ICE SUV design with bold stance,Practical family cabin with premium touchpoints,Petrol SUV drivability tuned for city and highway use,Multi airbag protection with ESP and hill hold support in lineup,Active,https://www.nexaexperience.com/grand-vitara
Maruti Suzuki,Nexa,Grand Vitara,Delta,Petrol,Manual,SUV,5,,,,Premium exterior accents and SUV road presence,Connected infotainment and comfort focused interior package,Balanced petrol performance with efficient touring behavior,Enhanced active safety suite with stability controls,Active,https://www.nexaexperience.com/grand-vitara
Maruti Suzuki,Nexa,Grand Vitara,Zeta Strong Hybrid,Hybrid,Automatic,SUV,5,,,,Strong Hybrid visual identity and premium SUV styling,Feature rich cabin with sunroof and connected comfort in higher trims,Strong Hybrid automatic setup focused on fuel efficiency and smooth performance,Comprehensive safety architecture including multi airbags and ESP,Active,https://www.nexaexperience.com/grand-vitara
Maruti Suzuki,Nexa,Grand Vitara,Delta CNG,CNG,Manual,SUV,5,,,,CNG SUV variant with distinct eco badging,Factory fitted CNG practicality with family comfort setup,CNG oriented economy with dependable everyday drivability,ABS EBD airbags and stability support across safety package,Active,https://www.nexaexperience.com/grand-vitara
Maruti Suzuki,Nexa,XL6,Zeta,Petrol,Manual,MUV,6,,,,Premium MUV crossover styling,Captain seats and refined cabin,Smooth family road trip output,Comprehensive safety feature pack,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,XL6,Alpha Plus,Petrol,Automatic,MUV,6,,,,Top spec Nexa MUV detailing,Automatic comfort with premium trim,Effortless drive and NVH control,Advanced airbags and ESP support,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Jimny,Zeta,Petrol,Manual,SUV,4,,,,Iconic boxy off road look,Compact utility focused cabin,4x4 low range off road readiness,ESP hill descent and traction aids,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Jimny,Alpha,Petrol,Manual,SUV,4,,,,Premium off road styling package,Better infotainment and convenience,Serious terrain capability,Strong ladder frame safety package,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Invicto,Zeta Plus,Hybrid,Automatic,MUV,7,,,,Flagship premium MUV design,Ottoman style comfort in top trims,Hybrid powertrain smoothness,Advanced ADAS linked safety in higher trims,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Invicto,Alpha Plus,Hybrid,Automatic,MUV,7,,,,Top-end flagship styling,Luxury seating and connected tech,Strong hybrid cruising performance,Comprehensive premium safety suite,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,eVITARA,Delta (49 kWh),EV,Automatic,SUV,5,2026-02-18,1599000,,Modern electric SUV styling with NEXA signature and aerodynamic stance,Connected cabin with app linked charging support and premium comfort features,49 kWh battery configuration positioned for daily plus intercity EV use,Level 2 ADAS and 7 airbags with ESP and traction support,Just Launched,https://www.carwale.com/maruti-suzuki-cars/e-vitara/
Maruti Suzuki,Nexa,eVITARA,Zeta (61 kWh),EV,Automatic,SUV,5,2026-02-18,1749000,,Premium EV exterior identity with signature lighting and SUV stance,Feature rich connected cabin with charging journey support and comfort upgrades,61 kWh battery configuration with strong claimed range positioning,Level 2 ADAS and advanced safety suite including multi airbag protection,Just Launched,https://www.carwale.com/maruti-suzuki-cars/e-vitara/
Maruti Suzuki,Nexa,eVITARA,Alpha (61 kWh),EV,Automatic,SUV,5,2026-02-18,1979000,,Top trim EV styling with premium detailing and aero wheel design,High end interior package with connected tech and convenience focused features,61 kWh battery with flagship performance and claimed range focus,Comprehensive safety package with Level 2 ADAS 360 camera and 7 airbags,Just Launched,https://www.carwale.com/maruti-suzuki-cars/e-vitara/
Maruti Suzuki,Nexa,eVITARA,Delta (BaaS 49 kWh),EV,Automatic,SUV,5,2026-02-18,1099000,,Entry eVITARA positioning under Battery as a Service purchase model,Connected features and EV driving aids aligned to Delta grade,49 kWh battery with battery rental model support for lower acquisition cost,Safety suite aligned to lineup with ADAS and multi airbag coverage,Just Launched,https://www.carwale.com/maruti-suzuki-cars/e-vitara/
Maruti Suzuki,Nexa,Victoris,Standard,Petrol,Automatic,SUV,5,,,,Premium SUV styling showcased by Odyssey Motors,Spacious cabin with modern infotainment and comfort focused features,Smooth everyday performance suitable for city and highway usage,Comprehensive active and passive safety package depending on variant,Active,https://odysseymotors.com
