sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
"Life in Light",ca,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life in Light",us,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life in Light",sg,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life in Light",my,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life in Light",au,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life in Light",eu,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"contemporary Nature painting ",,admin,simple,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting",base,,,"<p>This painting for living room will generate positive atmosphere and give the space a striking visual element.</p>",1.0000,1,"Taxable Goods","Catalog, Search",,,6/23/18,,contemporary-nature-painting,,,,/i/m/img_1160_waterfall_abstract_1_1.jpg,"Nature painting , Modern Painting , Modern Wall Art,Modern art Paintings in Canvas medium adds definite charisma to your Living Room",/i/m/img_1160_waterfall_abstract_1_1.jpg,"Nature painting , Modern Painting , Modern Wall Art,Modern art Paintings in Canvas medium adds definite charisma to your Living Room",/i/m/img_1160_waterfall_abstract_1_1.jpg,"Nature painting , Modern Painting , Modern Wall Art,Modern art Paintings in Canvas medium adds definite charisma to your Living Room",/i/m/img_1160_waterfall_abstract_1_1.jpg,,"7/24/18, 1:13 PM","3/11/24, 1:23 PM",,,"Product Info Column",,,,No,,,,,,,"Use config",India,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""12500"",jd_trends_artist=""1"",prirority=""1""",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/m/img_1160_waterfall_abstract_1_1.jpg,"Nature painting , Modern Painting , Modern Wall Art,Modern art Paintings in Canvas medium adds definite charisma to your Living Room",,,,,,,,,,,
"contemporary Nature painting ",en,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1160_waterfall_abstract_1.jpg,,/i/m/img_1160_waterfall_abstract_1.jpg,,/i/m/img_1160_waterfall_abstract_1.jpg,,/i/m/img_1160_waterfall_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soothing Groove",,admin,simple,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category/Paintings/Medium,Default Category/Paintings/Style/Decorative ,Default Category,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",base,,,"<p>This painting for living room will generate positive atmosphere and give the space a striking visual element.</p>",1.0000,1,"Taxable Goods","Catalog, Search",,,,,,,,,/i/m/img_1161_layer_scenary_1.jpg,"scenery painting , painting scenery , natural scenery painting , beautiful scenery painting , scenery art,Flower painting for your living room that generates sweet emotions",/i/m/img_1161_layer_scenary_1.jpg,"scenery painting , painting scenery , natural scenery painting , beautiful scenery painting , scenery art,Flower painting for your living room that generates sweet emotions",/i/m/img_1161_layer_scenary_1.jpg,"scenery painting , painting scenery , natural scenery painting , beautiful scenery painting , scenery art,Flower painting for your living room that generates sweet emotions",/i/m/img_1161_layer_scenary_1.jpg,,"7/24/18, 1:14 PM","11/6/21, 10:31 PM",,,"Product Info Column",,,,No,,,,,,,"Use config",,"room=""Study Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""10000"",jd_trends_artist=""1"",prirority=""1""",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/m/img_1161_layer_scenary_1.jpg,"scenery painting , painting scenery , natural scenery painting , beautiful scenery painting , scenery art,Flower painting for your living room that generates sweet emotions",,,,,,,,,,,
"Soothing Groove",en,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1161_layer_scenary.jpg,,/i/m/img_1161_layer_scenary.jpg,,/i/m/img_1161_layer_scenary.jpg,,/i/m/img_1161_layer_scenary.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soothing Groove",us,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1161_layer_scenary.jpg,,/i/m/img_1161_layer_scenary.jpg,,/i/m/img_1161_layer_scenary.jpg,,/i/m/img_1161_layer_scenary.jpg,,,,,,,,,,,,,,,,,,,"artist_price=""3000""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A fiery Horse",,admin,simple,"Default Category/Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Minimalistic,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings/Animals, Birds Paintings/Running Horse Paintings,Default Category/Paintings/Animals, Birds Paintings/Animals Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",base,,,"<p>horse painting , running horse painting , white horse painting ,Enhance the beauty of Your Walls through large  canvas Painting</p>",1.0000,1,"Taxable Goods","Catalog, Search",,,,,a-fiery-horse,,,,/i/m/img_1148_horse_1_3.jpg,"horse painting , running horse painting , white horse painting ,Enhance the beauty of Your Walls through large  canvas Painting",/i/m/img_1148_horse_1_3.jpg,"horse painting , running horse painting , white horse painting ,Enhance the beauty of Your Walls through large  canvas Painting",/i/m/img_1148_horse_1_3.jpg,"horse painting , running horse painting , white horse painting ,Enhance the beauty of Your Walls through large  canvas Painting",/i/m/img_1148_horse_1_3.jpg,,"7/24/18, 1:17 PM","5/13/25, 5:45 PM",,,"Product Info Column",,,,No,,,,,,,"Use config",India,"room=""Living Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""12500"",jd_trends_artist=""1"",prirority=""1""",2.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/m/img_1148_horse_1_3.jpg,"horse painting , running horse painting , white horse painting ,Enhance the beauty of Your Walls through large  canvas Painting",,,,,,,,,,,
"A fiery Horse",en,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1148_horse_1.jpg,,/i/m/img_1148_horse_1.jpg,,/i/m/img_1148_horse_1.jpg,,/i/m/img_1148_horse_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rhymic bird",,admin,simple,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Landscape Paintings/Flower Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Landscape Paintings,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",base,,,"<p>Decorative  Painting</p>",1.0000,1,"Taxable Goods","Catalog, Search",,,,,,,,,/i/m/img_1139_bird_spraypainting_1.jpg,"Bird Painting , Bird Painting on Canvas,Oversized Wall Art that can Stirs up your Creativity",/i/m/img_1139_bird_spraypainting_1.jpg,"Bird Painting , Bird Painting on Canvas,Oversized Wall Art that can Stirs up your Creativity",/i/m/img_1139_bird_spraypainting_1.jpg,"Bird Painting , Bird Painting on Canvas,Oversized Wall Art that can Stirs up your Creativity",/i/m/img_1139_bird_spraypainting_1.jpg,,"7/24/18, 1:17 PM","11/6/21, 10:31 PM",,,"Product Info Column",,,,No,,,,,,,"Use config",India,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""8600"",jd_trends_artist=""1"",prirority=""3""",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/m/img_1139_bird_spraypainting_1.jpg,"Bird Painting , Bird Painting on Canvas,Oversized Wall Art that can Stirs up your Creativity",,,,,,,,,,,
"Rhymic bird",en,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1139_bird_spraypainting.jpg,,/i/m/img_1139_bird_spraypainting.jpg,,/i/m/img_1139_bird_spraypainting.jpg,,/i/m/img_1139_bird_spraypainting.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
