sku,categories,short_description,description,price,special_price,is_in_stock,additional_attributes,created_at,updated_at
Desire to cruise,"Default Category/Paintings,Default Category/Paintings/Style/Impressionistic,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p>Nature painting , Modern Painting , Modern Wall Art,Style Your Walls with Classic Modern Art</p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""8600"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:19 PM","11/6/21, 10:31 PM"
Boat on Seashore,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Contemporary,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Landscape Paintings/Seascape Painting, Ship Painting,Default Category/Show by Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room/Bed Room",<p>This painting for living room will generate positive atmosphere and give the space a striking visual element.</p>,,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""14600"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:20 PM","5/30/22, 5:53 PM"
Enriched flowers Painting,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings/Landscape Paintings/Flower Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Landscape Paintings,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Decorate your space with Flower Painting that looks amazing on walls. </p>,,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""8500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:20 PM","11/6/21, 10:31 PM"
Beautiful Floral Painting,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Landscape Paintings/Flower Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Landscape Paintings,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Paintings/Style/Abstract,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Decorate your space with Flower Painting that looks amazing on walls. </p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""8500"",jd_trends_artist=""1"",prirority=""2""","7/24/18, 1:22 PM","5/11/22, 5:10 PM"
Liberated Horses,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Animals, Birds Paintings/Running Horse Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View",<p>Animal painting - running horse painting on Canvas art material</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""18500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:23 PM","1/1/24, 12:19 PM"
Eccentric Performance,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>This Music painting for living room will generate positive atmosphere and give the space a striking visual element.</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""18500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:23 PM","11/6/21, 10:31 PM"
New Life Scenery painting,"Default Category/Paintings,Default Category/Paintings/Style/Impressionistic,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p>If your décor is modern and your floor plan is open, consider hanging a giant abstract painting in your living room. Aesthetics does matter</p>",,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""7500"",jd_trends_artist=""1"",prirority=""2""","7/24/18, 1:24 PM","11/6/21, 10:31 PM"
Panteth for the water brooks,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Conceptual,Default Category/Paintings/Animals, Birds Paintings/Animals Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Deer Painting - 100% Hand Painted Modern Abstract Animal Art Painting</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""8200"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:24 PM","11/6/21, 10:31 PM"
Magnificent Landscape Painting,"Default Category/Paintings/Style,Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category,Default Category/Paintings,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>This Landscape painting for living room will generate positive atmosphere and give the space a striking visual element.</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""9300"",jd_trends_artist=""1"",prirority=""2""","7/24/18, 1:25 PM","11/6/21, 10:31 PM"
Beauteous landscape Painting,"Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View","<p><span data-sheets-value=""{""1"":2,""2"":""High Quality Indian Painting for a mesmerizing visual experience and to create the look and feel of the original nature right at your walls""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">High Quality Indian Painting for a mesmerizing visual experience and to create the look and feel of the original nature right at your walls</span></p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""20000"",jd_trends_artist=""2"",prirority=""2""","7/24/18, 1:26 PM","1/1/24, 12:19 PM"
Bharatanatyam,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Indian Paintings,Default Category/Paintings/Indian Paintings/Folk Art Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>classical dance painting</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""12300"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:26 PM","11/6/21, 10:31 PM"
Zebra,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Animals, Birds Paintings/Animals Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p>zebra painting,realistic art,realistic painting,original artwork that will bring a coherance of positivity and vibrance to the entire wall and room</p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""13500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:27 PM","8/29/22, 4:47 PM"
Deer,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Minimalistic,Default Category/Paintings/Animals, Birds Paintings/Animals Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>animal painting</p>,,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""7600"",jd_trends_artist=""1"",prirority=""5""","7/24/18, 1:28 PM","1/1/24, 12:19 PM"
Bird Abstract Art,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Animals, Birds Paintings/Birds Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p>abstract art,abstract painting,birt art,bird painting,Vibrant watercolor paintings on high quality canvas creates a wow factor to our walls and brings the look and feel of the original rich tone</p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""14500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:30 PM","1/1/24, 12:18 PM"
Reflection of Life,"Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p><span data-sheets-value=""{""1"":2,""2"":""High Quality Indian Painting for a mesmerizing visual experience and to create the look and feel of the original nature right at your walls""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">High Quality Indian Painting for a mesmerizing visual experience and to create the look and feel of the original nature right at your walls</span></p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""14500"",jd_trends_artist=""1"",prirority=""2""","7/24/18, 1:30 PM","11/6/21, 10:31 PM"
The Road less Travelled,"Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View",<p>This Scenary painting for living room will generate positive atmosphere and give the space a striking visual element.</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""15000"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:33 PM","11/6/21, 10:31 PM"
Tree of Life,"Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p>realistic art,realistic painting,landscape painting that transform living room</p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""12000"",jd_trends_artist=""1"",prirority=""2""","7/24/18, 1:34 PM","11/6/21, 10:31 PM"
Girl in Beach,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings,Default Category,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Beach Painting</p>,,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""7000"",jd_trends_artist=""1"",prirority=""4""","7/24/18, 1:34 PM","11/6/21, 10:31 PM"
Girl near Lotus Pond,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>portrait painting</p>,,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""10000"",jd_trends_artist=""1"",prirority=""5""","7/24/18, 1:34 PM","11/6/21, 10:31 PM"
classical dance,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Indian Paintings,Default Category/Paintings/Indian Paintings/Folk Art Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p>women painting,realistic art,Portrait Painting that will take centre stage of your space</p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""12000"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:35 PM","2/15/24, 9:54 AM"
Girl plucking flowers in Garden,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View","<p>women painting,realistic painting,Portrait Painting that will take centre stage of your space</p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""11500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:35 PM","12/17/21, 10:06 AM"
Flower Girl,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p>women painting,realistic art,unrevealed beauty in Portrait painting best suitable for living room</p>",,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""10000"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:41 PM","11/6/21, 10:31 PM"
